txid,vout,block_height,block_time,date_utc,value_sats,value_btc,is_anchor_tx,senders,n_senders,symbolic_notes,spent
a1075db55d416d3ca199f55b6084e2115b9345e16c5cf302fc80e9d5fbf5d48d,0,57043,1274552191,2010-05-22T18:16:31+00:00,1000000000000,10000.0,True,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,1,sent on May 22 (2010),True
2c63ac6d71e696dea43ef1ef7fba8c376a6a220383e73a17ba6c3795996db112,0,352701,1429402478,2015-04-19T00:14:38+00:00,10000,0.0001,False,1AcYBSowHuVhtWHWPRKVgdNEQqirme4a6R,1,round dust: 10000,False
62104aa084f4a158cb9aa545ee30d68db88bb22d4a66904b78d41e4512c1969a,0,474237,1499199427,2017-07-04T20:17:07+00:00,100000,0.001,False,17qfYz8HUJBGpkth6daPhRBpemHubU8KAw,1,round dust: 100000,False
6e05c708d88cc5bf0f1533938c969de2cc48f438b0ae28ce89fefbaa1938185a,0,547057,1540324411,2018-10-23T19:53:31+00:00,1111,1.111e-05,False,1BNTW2ZzjVZd24JUit5jFP4vGvQBviw4Pv,1,,False
1318b899852c8ecd4c7ff4c540ea469e36b15f781ca517a94168da72b68e427d,0,615962,1580833106,2020-02-04T16:18:26+00:00,141482,0.00141482,False,1FYzQ3WjLKHdQ8mhT5C3K5h4pffAQ9PMkZ,1,,False
395206d164c0b6e65712893f2a3fb5365308786abc9065657f3b8f724222e329,2,773371,1674553083,2023-01-24T09:38:03+00:00,1000,1e-05,False,bc1q20060406sduxj6hslfatdhrgs9mxtvmvgahm8p,1,round dust: 1000,False
26e92e945d21914349da7628b306f86580cd2bad4a8e9f12241c3d56b84435b3,0,790931,1684783165,2023-05-22T19:19:25+00:00,546,5.46e-06,False,bc1q403r3f85hnht0gj5esvg68dmldfag2kvzhxqjn,1,sent on May 22 (2023),False
fda5d2efa69cdc81b6093152d9cabb07d697f98d1d23c1c1f3905fa23d26469d,0,844547,1716363805,2024-05-22T07:43:25+00:00,546,5.46e-06,False,bc1papkh2ws7d6g5v9d2hwjh7nhmhgqn9cnpd8lu79wcf6nhlmca656sxd9lmh|bc1q0wf9hvqdhwaa2vu3e639sglcu87d06gg4x0mg6,2,sent on May 22 (2024),False
600389bd5ea879a8f96f68e025b7be634176a979c32e102815b6782d955b7920,0,845121,1716661353,2024-05-25T18:22:33+00:00,546,5.46e-06,False,bc1p74uxvm4us6nrjhcvz8wsk8ssn3nprhpv38hlhye4jkvyfhya7seqw25aqt,1,,False
c201f48abf5cbb069a5cffefbc6ea04acc2450fdb46598ad12456af43310b300,2,845121,1716661353,2024-05-25T18:22:33+00:00,546,5.46e-06,False,bc1pmd5mkrkv8wrr7neyqed7222t2gm2n8sx7zj7az4hl9a3senfap6ssrawfx,1,,False
692711604378a71e097499034e6209d6872f5f2adf27c150ce822dad5f9495e8,166,851093,1720353781,2024-07-07T12:03:01+00:00,546,5.46e-06,False,bc1qlhjjqjgnq2u487zqk3uv4rlqx6dqv9zlc6xgf2,1,,False
881db2b47fe09f6cad8361bd95a8daffc797e72705043eb8f3006aed084ffd73,0,864522,1728266009,2024-10-07T01:53:29+00:00,1010,1.01e-05,False,bc1pd4y3wka70kvyzcennyscw7svusjld867eqak7py3c7lf246pzr4qhkr8ja,1,,False
42677788bd21c2fa0db20f1997048a358cea033a72e32d8adad4fa1618c581bd,2,874525,1734074897,2024-12-13T07:28:17+00:00,546,5.46e-06,False,bc1pceqchphguy355x40l20xhknj42wrpzfewm9g5ph08awr8wrnxdxskrv339|bc1pv0nerh006ycc90lkh2szt6dpssvmygsnc7n7nlaz9yfqxzwgv7rs8ueduc,2,,False
0d149d10995e6605d9364c018960200751f74929b4c3cbd3d3f83f04c566b5b4,24,943050,1774952016,2026-03-31T10:13:36+00:00,571,5.71e-06,False,1HELLo1LhfDB8YBKPF98MX98h6SKBZFxU,1,,False
