id,depth,parents,txid,vout,address,scriptpubkey_type,amount_sats,taint_sats,block_height,block_time,terminal,spent_in_tx,spent_at_block,spent_at_time,dormancy_days,cluster_input_count
0,0,,a1075db55d416d3ca199f55b6084e2115b9345e16c5cf302fc80e9d5fbf5d48d,0,17SkEw2md5avVNyYgj6RiXuQKNwkXaxFyQ,p2pkh,1000000000000,1000000000000,57043,1274552191,,cca7507897abc89628f450e8b1e0c6fca4ec3f7b34cccf55f3f531c659ff4d79,57044,1274552768,0.01,
1,1,0,cca7507897abc89628f450e8b1e0c6fca4ec3f7b34cccf55f3f531c659ff4d79,0,1MLh2UVHgonJY4ZtsakoXtkcXDJ2EPU6RY,p2pkh,577700000000,577700000000,57044,1274552768,,3b8328fe7e53a8162cf023738a53c85a3cbf21efe517ab878e8cfecc3a2e22db,57053,1274555612,0.03,
2,1,0,cca7507897abc89628f450e8b1e0c6fca4ec3f7b34cccf55f3f531c659ff4d79,1,,p2pk,422300000000,422300000000,57044,1274552768,,9e744590d196b63d02a1dd7ef596fd6082286f84295d66da411a9ffebfdd1957,64683,1278471384,45.35,
3,2,1,3b8328fe7e53a8162cf023738a53c85a3cbf21efe517ab878e8cfecc3a2e22db,0,18ZChqRsb7eKgH8wLg9Pfkkezux34pf6eo,p2pkh,577700000000,577700000000,57053,1274555612,,9e744590d196b63d02a1dd7ef596fd6082286f84295d66da411a9ffebfdd1957,64683,1278471384,45.32,
4,3,2;3,9e744590d196b63d02a1dd7ef596fd6082286f84295d66da411a9ffebfdd1957,0,1PrwYMffhu1XJyVXs6Ba67NidGZVjbGHCq,p2pkh,1102200000000,1102200000000,64683,1278471384,,1d001840a1eccd2d3f0505a6b54d60812cf9295a08a1afc48871cf21ad1147f8,64683,1278471384,0.0,
5,4,4,1d001840a1eccd2d3f0505a6b54d60812cf9295a08a1afc48871cf21ad1147f8,0,1B7cetLTSKP4druMdqSiPjf2ZmCeuaGcb4,p2pkh,550000000000,550000000000,64683,1278471384,,6ac97d586d1bbcc71d5d735bacd4535a7bbfb5cb074eb7b562d7a49c258a61fa,66736,1279041320,6.6,
6,4,4,1d001840a1eccd2d3f0505a6b54d60812cf9295a08a1afc48871cf21ad1147f8,1,1NX8uqs2p4CzosgouwtMP1w2aLqYJwgJUg,p2pkh,552200000000,552200000000,64683,1278471384,,7f02e1a82810bf57c151ccb5c8b9231151dd68cae53c190a66b7dfb69e5b90b2,64684,1278471826,0.01,
7,5,6,7f02e1a82810bf57c151ccb5c8b9231151dd68cae53c190a66b7dfb69e5b90b2,0,1KcAt5s7fpPPVHzVpT15weSeSFEwTm83dC,p2pkh,567700000000,567700000000,64684,1278471826,depth-pruned,,,,,
8,5,5,6ac97d586d1bbcc71d5d735bacd4535a7bbfb5cb074eb7b562d7a49c258a61fa,0,12ofyFo3ExgseLRwDW8ZgVpoaemNHyU2Wd,p2pkh,350000000000,350000000000,66736,1279041320,depth-pruned,,,,,
9,5,5,6ac97d586d1bbcc71d5d735bacd4535a7bbfb5cb074eb7b562d7a49c258a61fa,1,17G2pjfKvznmMrgJA1yJoEvYQDsMFkHhND,p2pkh,200000000000,200000000000,66736,1279041320,depth-pruned,,,,,
